2025-04-03T21:38:17.287+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Starting attempt 1 of 4
2025-04-03T21:38:17.310+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:37:15.310530+00:00
2025-04-03T21:38:17.317+0000 [INFO] Started process 1483 to run task
2025-04-03T21:38:17.323+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:37:15.310530+00:00', '--job-id', '480', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpzd76z89w']
2025-04-03T21:38:17.326+0000 [INFO] Job 480: Subtask processing.extract
2025-04-03T21:38:18.390+0000 [WARNING] Skipping malformed line 186: Found 18 fields (expected 14)
2025-04-03T21:38:18.390+0000 [WARNING] Skipping malformed line 187: Found 18 fields (expected 14)
2025-04-03T21:38:18.390+0000 [WARNING] Skipping malformed line 188: Found 18 fields (expected 14)
2025-04-03T21:38:18.390+0000 [WARNING] Skipping malformed line 189: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 190: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 191: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 192: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 193: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 194: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 195: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 196: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 197: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 198: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 199: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 200: Found 18 fields (expected 14)
2025-04-03T21:38:18.391+0000 [WARNING] Skipping malformed line 201: Found 18 fields (expected 14)
2025-04-03T21:38:18.392+0000 [WARNING] Skipping malformed line 202: Found 18 fields (expected 14)
2025-04-03T21:38:18.393+0000 [WARNING] Skipping malformed line 203: Found 18 fields (expected 14)
2025-04-03T21:38:18.393+0000 [WARNING] Skipping malformed line 204: Found 18 fields (expected 14)
2025-04-03T21:38:18.394+0000 [WARNING] Skipping malformed line 205: Found 18 fields (expected 14)
2025-04-03T21:38:18.394+0000 [WARNING] Skipping malformed line 206: Found 18 fields (expected 14)
2025-04-03T21:38:18.394+0000 [WARNING] Skipping malformed line 207: Found 18 fields (expected 14)
2025-04-03T21:38:18.394+0000 [WARNING] Skipping malformed line 208: Found 18 fields (expected 14)
2025-04-03T21:38:18.394+0000 [WARNING] Skipping malformed line 209: Found 18 fields (expected 14)
